ID,original_ID,tweet,sarcastic,rephrase,prediction,correct
12607.0,train_1710,Loving the representation from South Yorkshire 🥰🥰 #GodsOwn #England #ENG #bbcfootball #bbc,0.0,,1,0
4790.0,train_255,Hate this site [CHIRPBIRDICON],1.0,I love this site,1,1
11657.0,test_a_93,Loving the fact Carlton Cole knows longelos mum 🤣🤣🤣,0.0,,1,0
3635.0,sign_10841,loving late night twittering immediately being thrown into online political conversation by people who entered my life by jokes,1.0,i really shouldn't tweet late at night cause my followers suck me into horrible political discussions,1,1
12455.0,train_2607,Hate people who moan about EVERY SINGLE THING possible 😴👊🏼,0.0,,1,0
14973.0,sign_2261,love it when the hawks choke,1.0,hate it when the hawks choke,1,1
9609.0,train_404,Love it wen people try and stop my friends seeing me! Looooolll.,1.0,"Non sarcastically I would say ""I hate it when people try and get in between me and my friends"" ",1,1
15449.0,sign_5263,love to see and hear people wildly speculate about crashes on cable news,1.0,love to see and hear people wildly speculate about crashes on cable news,1,1
16512.0,train_364,Love a good cry 👌🏻,1.0,"I would say ""I hate when someone makes me cry""",1,1
15442.0,sign_10897,love my fans xoxo,1.0,literally hate my fans xoxo,1,1
1630.0,sign_8488,um love how the bernie vs hillary snap story's commercial is the purge makeamericapureagain 1 stworldproblems,1.0,i wonder if the purge is a metaphor for the future,1,1
12115.0,sign_12,love how a lot of ppl quit clash for agar io,1.0,hate how a lot of ppl quit clash for agar,1,1
8610.0,sign_13086,gotta love yahoo and their dumb advertisements for psychological thrillers horror movies on my tumblr dashboard,1.0,i hate these ads on my tumblr dashboard,1,1
8769.0,sign_4375,gotta love those audio descriptions in which you can hear the click of a computer keyboard every time the describer stops reading,1.0,gotta hate those audio descriptions in which you can hear the click of a computer keyboard every time the describer stops reading,1,1
14520.0,sign_13117,gotta love being home when a guy walks into the movie theater with a clear bottle that he's spitting tobacco into,1.0,gotta hate being home when a guy walks into the movie theater with an unclear bottle that he's spitting tobacco into,1,1
2874.0,sign_13105,gotta love having allergies,1.0,allergies suck,1,1
14440.0,sign_299,love random guys to share their tinder conquests with me,1.0,i hate when random guys share their tinder conquests with me,1,1
14371.0,sign_13110,gotta love early morning flights,1.0,hate early morning flights,1,1
13926.0,sign_5416,love how me and my sister are exactly the same person,1.0,love how me and my sister are exactly the same person,1,1
699.0,sign_4268,gotta love favoritism in the workplace,1.0,hate favoritism in the workplace,1,1
16044.0,sign_13096,gotta love the smell of burnt microwave popcorn,1.0,the smell of burnt microwave popcorn is disgusting,1,1
10187.0,sign_7017,love how fighters show immediate concern for their downed opponents instead of acting like fools,1.0,fighters usually act like fools,1,1
12810.0,sign_6804,love managing to the save,1.0,i hate not being able to manage my savings,1,1
1591.0,sign_10884,love that the refs r making their presence known,1.0,hate that the refs r not making their presence known,1,1
11746.0,sign_10867,love this feeling,1.0,hate this feeling,1,1
2670.0,sign_2615,love the spanish friars watching jos rizal film,1.0,hate the spanish friars watching jos rizal film,1,1
13367.0,sign_13090,gotta love these entertainment sites that are so desperate for stories that they spoil shows before some timezones even see them,1.0,i hate spoilers,1,1
11060.0,train_496,gotta love living in a country where it’s easier to get an AR-15 than it is to get coronavirus testing 😍😝,1.0,"When I wrote this tweet, COVID testing was really inaccessible. That has somewhat changed but I was really trying to make a comment about how healthcare is a human right and how poorly our country is handling the pandemic. Owning a military-grade weapon isn't really necessary for human life. While I absolutely believe in the right of the working class to arm themselves (although not with an AR-15...), I just think it's ridiculous the barriers that are put up for people when accessing quality healthcare. I think it's run like a business in this country, and it's immoral.",1,1
19862.0,sign_10886,love that i get to work 6 hours on my day off,1.0,hate that i have to work on my usual day off,1,1
1331.0,sign_10917,love how someone just copies my tweets and deletes the source of the pics,1.0,hate how someone just copy my tweets and don't keep the source of the pics,1,1
9477.0,sign_10909,love it when the people you've carried now have the strength to climb over you and leave you behind to never look back,1.0,hate it when the people you've carried now have the strength to climb over you and leave you behind to never look back,1,1
15879.0,sign_10860,love those night flights to europe clt lhr,1.0,i don't like night flights to europe,1,1
9494.0,train_94,Ah gotta love that Friday morning burnt out feeling 🌄,1.0,I hate feeling burnt out from work and the never-ending pandemic.,1,1
10866.0,test_a_1120,love when my boss micromanaged me (:,1.0,,1,1
5484.0,sign_2257,love having my things stolen and returned broken to me,1.0,hate having my things stolen and returned broken to me,1,1
2659.0,sign_2073,gotta love waking up early to get a cavity filled,1.0,hate waking up early for a cavity fill,1,1
7164.0,test_a_664,Love the overhead view in the cricket,0.0,,1,0
19239.0,train_1572,Love that The Paris Hilton doc opens w a Jesus and Mary Chain song,0.0,,1,0
18902.0,test_a_428,Love it when someone with no mask chooses to sit next to me on the bus...😑,1.0,,1,1
15741.0,test_a_1273,Love how politicians are exempt from social distancing and all other restrictions placed on the general public,1.0,,1,1
18312.0,train_785,Love it when I forget to transfer my rent money over from my savings 🥴,1.0,I really hate forgetting to transfer money for rent,1,1
7702.0,sign_4725,love the fact my friends aren't boring and actually come out,1.0,hate the fact my friends are boring and actually don't come out,1,1
18942.0,train_724,Love everything in my basket selling our before the sale was meant to start😒 @ZARA_Care @zara,1.0,"I hate everything in my basket selling out before the sale was meant to start""",1,1
18800.0,test_a_1323,Love it when you clearly make a restaurant aware of dietary conditions and they ignore it 🥲,1.0,,1,1
3381.0,train_446,Love that someone broke into my car this morning,1.0,"I could say ""I hate that someone broke into my car this morning.""",1,1
3287.0,train_555,Love it when someone buys a £175 coffee machine in Paris with my debit card 😕,1.0,Gutted that someone has used my card to buy a £175 coffee machine.,1,1
18270.0,train_1283,Love how Kingston just ripped the buckle pad off #AEWAllOut,0.0,,1,0
4838.0,train_475,love waking up in a panic 🥴🥴,1.0,I do not like waking up in a panic,1,1
5350.0,test_a_1175,love it when R gives me the 500th error code of the day,1.0,,1,1
6442.0,test_a_576,"Love a good cat story, especially a Co-op cat... 💙😻💙",0.0,,1,0
15987.0,test_a_581,Love it when I get disturbed three times in the bath to be asked where things in the house are!!,1.0,,1,1
16903.0,test_a_561,Love it when the milk is out of date when you buy it,1.0,,1,1
5265.0,train_90,love getting assignments at 6:25pm on a Friday!!,1.0,Please do not give me an assignment right before I clock out because now I have to work overtime,1,1
,,,0.8679245283018868,,,0.8679245283018868
,,,,,,P-value: 0.599
